date,open,high,low,close,volume
2019-11-13,83.29,84.29,83.2,83.94,7439003.0
2019-11-12,82.69,83.976,82.605,83.32,8552693.0
2019-11-11,81.75,82.5312,81.37,82.43,5832575.0
2019-11-08,82.19,82.64,81.45,81.77,7088064.0
2019-11-07,83.06,83.29,81.84,81.95,7221382.0
2019-11-06,82.08,83.37,82.0,82.99,6365267.0
2019-11-05,82.34,82.34,81.0301,81.89,7054400.0
2019-11-04,83.3,83.435,81.9,82.37,8271187.0
2019-11-01,84.79,85.31,82.61,83.21,10658473.0
2019-10-31,86.71,87.22,83.28,84.56,14008811.0
2019-10-30,84.61,84.7,83.32,84.19,8731291.0
2019-10-29,83.81,84.63,83.64,84.13,5699093.0
2019-10-28,84.47,84.98,83.36,83.6,6642114.0
2019-10-25,83.21,83.565,82.63,83.38,5235296.0
2019-10-24,82.8,83.53,82.6605,83.18,4632619.0
2019-10-23,84.31,84.41,82.1262,82.74,7186615.0
2019-10-22,85.23,85.35,83.39,83.46,5806608.0
2019-10-21,86.0,86.24,85.0801,85.35,4861157.0
2019-10-18,86.35,86.75,85.52,86.03,4621272.0
2019-10-17,86.88,87.02,86.16,86.29,4397738.0
2019-10-16,86.53,86.83,86.045,86.71,3706830.0
2019-10-15,87.0,87.25,85.76,86.45,4722624.0
2019-10-14,86.5,87.68,86.4,86.62,4936604.0
2019-10-11,87.02,87.25,86.26,86.36,5621572.0
2019-10-10,85.91,86.0658,85.38,85.96,4257671.0
2019-10-09,85.37,86.17,85.28,85.85,4450259.0
2019-10-08,85.49,86.33,84.69,84.91,6386914.0
2019-10-07,85.71,86.16,85.49,85.85,4445596.0
2019-10-04,84.9,85.97,84.746,85.92,5891718.0
2019-10-03,84.3,84.91,83.61,84.67,6061699.0
2019-10-02,85.95,86.01,84.16,84.32,10036455.0
2019-10-01,88.63,88.894,86.45,86.51,6805628.0
2019-09-30,88.41,88.56,87.61,88.42,6650433.0
2019-09-27,90.3,90.3,87.79,88.37,5988453.0
2019-09-26,90.84,91.15,89.5,89.8,5531821.0
2019-09-25,89.94,90.61,89.02,90.35,5263768.0
2019-09-24,91.6,91.77,89.51,89.92,5688165.0
2019-09-23,90.32,91.16,89.93,90.81,4943643.0
2019-09-20,91.61,92.08,90.06,90.07,11241787.0
2019-09-19,90.99,92.1,90.3,91.56,4874742.0
2019-09-18,90.98,91.36,90.06,90.96,4559657.0
2019-09-17,89.67,91.46,89.65,90.75,6511690.0
2019-09-16,90.02,90.45,89.3769,89.42,6339236.0
2019-09-13,92.145,92.145,90.315,90.48,6972260.0
2019-09-12,92.16,93.315,91.77,92.06,6862165.0
2019-09-11,90.18,91.45,89.61,90.98,8406555.0
2019-09-10,93.81,93.88,89.3033,90.35,12490898.0
2019-09-09,95.8,95.93,93.74,94.16,6523299.0
2019-09-06,95.75,96.34,95.51,95.74,3991773.0
2019-09-05,96.54,96.96,95.17,95.56,5514796.0
2019-09-04,94.48,96.3258,93.032,96.11,12937509.0
2019-09-03,96.42,97.21,96.05,96.77,5150830.0
2019-08-30,98.14,98.14,96.105,96.56,5210451.0
2019-08-29,97.85,98.07,97.06,97.7,4514498.0
2019-08-28,96.23,97.21,96.0,97.07,4917332.0
2019-08-27,96.7,97.1,96.03,96.09,6540103.0
2019-08-26,95.38,96.5,95.0,96.5,5806558.0
2019-08-23,96.41,97.1,94.39,94.7,8077465.0
2019-08-22,96.59,96.85,95.7,96.49,5147125.0
2019-08-21,96.27,96.65,95.73,96.32,4740743.0
